OID_,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_t,parent_sta
,1094O, ,Constitución, ,-34.627276542899999,-58.381431475200003,4, ,0,"1,094"
,1095O, ,San Juan, ,-34.622676270600003,-58.379951566499997,4, ,0,"1,095"
,1096O, ,Independencia, ,-34.618060292400003,-58.380236216000000,4, ,0,"1,096"
,1097O, ,Moreno, ,-34.612434686100002,-58.380517847900002,4, ,0,"1,097"
,1098O, ,Avenida de Mayo, ,-34.608990925800001,-58.380681462699997,4, ,0,"1,098"
,1099O, ,Diagonal Norte, ,-34.604795306800000,-58.379235416500002,4, ,0,"1,099"
,1100O, ,Lavalle, ,-34.601776224300004,-58.378115594400001,4, ,0,"1,100"
,1101O, ,General San Martín, ,-34.594872221199999,-58.377256616799997,4, ,0,"1,101"
,1102O, ,Retiro, ,-34.591873756200002,-58.374748081000000,4, ,0,"1,102"
,1094E, ,Constitución, ,-34.627276542899999,-58.381431475200003,4, ,0,"1,094"
,1095E, ,San Juan, ,-34.622676270600003,-58.379951566499997,4, ,0,"1,095"
,1096E, ,Independencia, ,-34.618060292400003,-58.380236216000000,4, ,0,"1,096"
,1097E, ,Moreno, ,-34.612434686100002,-58.380517847900002,4, ,0,"1,097"
,1098E, ,Avenida de Mayo, ,-34.608990925800001,-58.380681462699997,4, ,0,"1,098"
,1099E, ,Diagonal Norte, ,-34.604795306800000,-58.379235416500002,4, ,0,"1,099"
,1100E, ,Lavalle, ,-34.601776224300004,-58.378115594400001,4, ,0,"1,100"
,1101E, ,General San Martín, ,-34.594872221199999,-58.377256616799997,4, ,0,"1,101"
,1102E, ,Retiro, ,-34.591873756200002,-58.374748081000000,4, ,0,"1,102"
,1103N, ,Congreso de Tucumán, ,-34.555987572399999,-58.462078124300000,4, ,0,"1,103"
,1104N, ,Juramento, ,-34.562410402099999,-58.456280529499999,4, ,0,"1,104"
,1105N, ,José Hernández, ,-34.566267592300001,-58.451968878499997,4, ,0,"1,105"
,1106N, ,Olleros, ,-34.570246506099998,-58.444336652700002,4, ,0,"1,106"
,1107N, ,Ministro Carranza, ,-34.575205802200003,-58.434726297799997,4, ,0,"1,107"
,1108N, ,Palermo, ,-34.578413560900003,-58.425869643600002,4, ,0,"1,108"
,1109N, ,Plaza Italia, ,-34.581660946100001,-58.420978635600001,4, ,0,"1,109"
,1110N, ,Scalabrini Ortiz, ,-34.585185336300000,-58.415824770900002,4, ,0,"1,110"
,1111N, ,Bulnes, ,-34.588258565799997,-58.411264344999999,4, ,0,"1,111"
,1112N, ,Agüero, ,-34.591698218099999,-58.407092839500002,4, ,0,"1,112"
,1113N, ,Pueyrredón, ,-34.594988137800001,-58.403226435199997,4, ,0,"1,113"
,1114N, ,Facultad de Medicina, ,-34.599719656799998,-58.397433534299999,4, ,0,"1,114"
,1115N, ,Callao, ,-34.599602642000001,-58.392240107100001,4, ,0,"1,115"
,1116N, ,Tribunales, ,-34.601770705200003,-58.384459018699999,4, ,0,"1,116"
,1117N, ,9 de Julio, ,-34.604348245600001,-58.380351886299998,4, ,0,"1,117"
,1118N, ,Catedral, ,-34.607624420999997,-58.374257236699997,4, ,0,"1,118"
,1103S, ,Congreso de Tucumán, ,-34.555987572399999,-58.462078124300000,4, ,0,"1,103"
,1104S, ,Juramento, ,-34.562410402099999,-58.456280529499999,4, ,0,"1,104"
,1105S, ,José Hernández, ,-34.566267592300001,-58.451968878499997,4, ,0,"1,105"
,1106S, ,Olleros, ,-34.570246506099998,-58.444336652700002,4, ,0,"1,106"
,1107S, ,Ministro Carranza, ,-34.575205802200003,-58.434726297799997,4, ,0,"1,107"
,1108S, ,Palermo, ,-34.578413560900003,-58.425869643600002,4, ,0,"1,108"
,1109S, ,Plaza Italia, ,-34.581660946100001,-58.420978635600001,4, ,0,"1,109"
,1110S, ,Scalabrini Ortiz, ,-34.585185336300000,-58.415824770900002,4, ,0,"1,110"
,1111S, ,Bulnes, ,-34.588258565799997,-58.411264344999999,4, ,0,"1,111"
,1112S, ,Agüero, ,-34.591698218099999,-58.407092839500002,4, ,0,"1,112"
,1113S, ,Pueyrredón, ,-34.594988137800001,-58.403226435199997,4, ,0,"1,113"
,1114S, ,Facultad de Medicina, ,-34.599719656799998,-58.397433534299999,4, ,0,"1,114"
,1115S, ,Callao, ,-34.599602642000001,-58.392240107100001,4, ,0,"1,115"
,1116S, ,Tribunales, ,-34.601770705200003,-58.384459018699999,4, ,0,"1,116"
,1117S, ,9 de Julio, ,-34.604348245600001,-58.380351886299998,4, ,0,"1,117"
,1118S, ,Catedral, ,-34.607624420999997,-58.374257236699997,4, ,0,"1,118"
,1119N, ,Bolívar, ,-34.609575380800003,-58.374049365499999,4, ,0,"1,119"
,1120N, ,Belgrano, ,-34.613410392399999,-58.378220200400001,4, ,0,"1,120"
,1121N, ,Independencia, ,-34.618001797399998,-58.380904421099999,4, ,0,"1,121"
,1122N, ,San José, ,-34.622367261100003,-58.385392427500001,4, ,0,"1,122"
,1123N, ,Entre Ríos, ,-34.622759595700003,-58.391514569400002,4, ,0,"1,123"
,1124N, ,Pichincha, ,-34.623133717899996,-58.397111669200001,4, ,0,"1,124"
,1125N, ,Jujuy, ,-34.623878646999998,-58.402829468299998,4, ,0,"1,125"
,1126N, ,General Urquiza, ,-34.624681784600000,-58.409617468699999,4, ,0,"1,126"
,1127N, ,Boedo, ,-34.625545058500002,-58.416628092499998,4, ,0,"1,127"
,1128N, ,La Plata, ,-34.626836228099997,-58.425610810599999,4, ,0,"1,128"
,1129N, ,José María Moreno, ,-34.628084339399997,-58.434297815000001,4, ,0,"1,129"
,1130N, ,Emilio Mitre, ,-34.631632139099999,-58.442524820599999,4, ,0,"1,130"
,1131N, ,Medalla Milagrosa, ,-34.636250121800003,-58.450398445200001,4, ,0,"1,131"
,1132N, ,Varela, ,-34.639566964300002,-58.457848280500002,4, ,0,"1,132"
,1133N, ,Plaza de los Virreyes, ,-34.642770031900000,-58.461445122999997,4, ,0,"1,133"
,1119S, ,Bolívar, ,-34.609575380800003,-58.374049365499999,4, ,0,"1,119"
,1120S, ,Belgrano, ,-34.613410392399999,-58.378220200400001,4, ,0,"1,120"
,1121S, ,Independencia, ,-34.618001797399998,-58.380904421099999,4, ,0,"1,121"
,1122S, ,San José, ,-34.622367261100003,-58.385392427500001,4, ,0,"1,122"
,1123S, ,Entre Ríos, ,-34.622759595700003,-58.391514569400002,4, ,0,"1,123"
,1124S, ,Pichincha, ,-34.623133717899996,-58.397111669200001,4, ,0,"1,124"
,1125S, ,Jujuy, ,-34.623878646999998,-58.402829468299998,4, ,0,"1,125"
,1126S, ,General Urquiza, ,-34.624681784600000,-58.409617468699999,4, ,0,"1,126"
,1127S, ,Boedo, ,-34.625545058500002,-58.416628092499998,4, ,0,"1,127"
,1128S, ,La Plata, ,-34.626836228099997,-58.425610810599999,4, ,0,"1,128"
,1129S, ,José María Moreno, ,-34.628084339399997,-58.434297815000001,4, ,0,"1,129"
,1130S, ,Emilio Mitre, ,-34.631632139099999,-58.442524820599999,4, ,0,"1,130"
