OID_,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,INAUGURA,LIN_SENT_N,LIN_SENT_S,METROBUS
,157.000000000000000,Mosconi,AV SAN MARTIN, ,Entre Gabriela Mistral y Carlos Antonio López,si,Sentido Oeste: 57 - 78 - 87 - 123 - 176,Sentido Este: 57 - 78 - 123 - 176,Metrobus Av San Martín
,158.000000000000000,Ladines,AV SAN MARTIN, ,Entre Griveo y Cabezón José León,si,Sentido Oeste: 57 - 78 - 87 - 123 - 176,Sentido Este: 57 - 78 - 87 - 123 - 176,Metrobus Av San Martín
,159.000000000000000,Monroe,CABILDO AV, ,Entre Av Monroe y Roosevelt,si, ,29 - 41 - 59 - 60 - 152 - 161,Metrobus Norte - Av Cabildo
,160.000000000000000,Blanco Encalada,CABILDO AV, ,Entre Blanco Encalada y Av Monroe,si, ,68 - 168 - 184,Metrobus Norte - Av Cabildo
,161.000000000000000,Blanco Encalada,CABILDO AV, ,Entre Blanco Encalada y Av Monroe,si,161 - 168 - 184, ,Metrobus Norte - Av Cabildo
,162.000000000000000,Olazábal,CABILDO AV, ,Entre Olazábal y Blanco Encalada,si,29 - 41 - 59 - 60 - 68 - 152, ,Metrobus Norte - Av Cabildo
,163.000000000000000,Mendoza,CABILDO AV, ,Entre Mendoza y Olazábal,si, ,29 - 41 - 59 - 60 - 68 - 152 - 161,Metrobus Norte - Av Cabildo
,164.000000000000000,Juramento,CABILDO AV, ,Entre Juramento y Mendoza,si,57 - 194, ,Metrobus Norte - Av Cabildo
,165.000000000000000,Sucre,CABILDO AV, ,Entre Sucre y Echeverría,si,41 - 59 - 60 - 63 - 67 - 68 - 152 - 161 - 168 - 184, ,Metrobus Norte - Av Cabildo
,166.000000000000000,La Pampa,CABILDO AV, ,Entre La Pampa y Sucre,si, ,44 - 63 - 65 - 80 - 168 - 184,Metrobus Norte - Av Cabildo
,167.000000000000000,Virrey del Pino,CABILDO AV, ,Entre Virrey del Pino y José Hernández,si, ,57 - 194,Metrobus Norte - Av Cabildo
,168.000000000000000,Virrey Arredondo,CABILDO AV, ,Entre Virrey Arredondo y Virrey Olaguer y Feliú,si, ,41 - 59 - 60 - 63 - 67 - 68 - 152 - 161,Metrobus Norte - Av Cabildo
,169.000000000000000,Virrey Loreto,CABILDO AV, ,Entre Céspedes y Virrey Loreto,si,59 - 60 - 152, ,Metrobus Norte - Av Cabildo
,170.000000000000000,Zabala,CABILDO AV, ,Entre Céspedes y Virrey Loreto,si,41 - 63 - 67 - 68 - 161, ,Metrobus Norte - Av Cabildo
,171.000000000000000,Céspedes,CABILDO AV, ,Entre Céspedes y Zabala,si, ,59 - 60 - 63 - 67,Metrobus Norte - Av Cabildo
,172.000000000000000,Aguilar,CABILDO AV, ,Entre Aguilar y Céspedes,si, ,41 - 68 - 152 - 161,Metrobus Norte - Av Cabildo
,173.000000000000000,Palpa,CABILDO AV, ,Entre Palpa y Aguilar,si,59 - 60 - 152, ,Metrobus Norte - Av Cabildo
,174.000000000000000,Olleros,CABILDO AV, ,Entre Olleros y Av Federizo Lacroze,si,68 - 161, ,Metrobus Norte - Av Cabildo
,175.000000000000000,Gorostiaga,CABILDO AV, ,Entre Gorostiaga y Olleros,si, ,41 - 60 - 67 - 68 - 152 - 161,Metrobus Norte - Av Cabildo
,176.000000000000000,Maure,CABILDO AV, ,Entre Maure y Gorostiaga,si, ,57 - 194,Metrobus Norte - Av Cabildo
,177.000000000000000,Jorge Newbery,CABILDO AV, ,Entre Jorge Newbery y Maure,si,41 - 60 - 67 - 68 - 152 - 161, ,Metrobus Norte - Av Cabildo
,178.000000000000000,Matienzo,CABILDO AV, ,Entre Benjamín Matienzo y Jorge Newbery,si,57 - 194, ,Metrobus Norte - Av Cabildo
,179.000000000000000,Oro,SANTA FE AV, ,Entre Fray Justo Santamaría de Oro y Godoy Cruz,si,59 - 68 - 152 - 161, ,Centro de Transbordo Pacífico
,180.000000000000000,Darregueyra,SANTA FE AV, ,Entre Darregueyra y Fray Justo Santamaría de Oro,si,29 - 39 - 41 - 64 - 67 - 93, ,Centro de Transbordo Pacífico
,181.000000000000000,Uriarte,SANTA FE AV, ,Entre Uriarte y Darregueyra,si,108 - 111 - 118, ,Centro de Transbordo Pacífico
,182.000000000000000,Uriarte,SANTA FE AV, ,Entre Uriarte y Darregueyra,si,12 - 95 - 194, ,Centro de Transbordo Pacífico
,184.000000000000000,Thames,SANTA FE AV, ,Entre Uriarte y Thames,si, ,55 - 160,Centro de Transbordo Pacífico
,185.000000000000000,Uriarte,SANTA FE AV, ,Entre Uriarte y Darregueyra,si, ,60 - 93,Centro de Transbordo Pacífico
,186.000000000000000,Uriarte,SANTA FE AV, ,Entre Uriarte y Darregueyra,si, ,59 - 108 - 118,Centro de Transbordo Pacífico
,187.000000000000000,Darregueyra,SANTA FE AV, ,Entre Darregueyra y Fray Justo Santamaría de Oro,si, ,12 - 15 - 29 - 95 - 111,Centro de Transbordo Pacífico
,188.000000000000000,Oro,SANTA FE AV, ,Entre Fray Justo Santamaría de Oro y Godoy Cruz,si, ,39 - 152,Centro de Transbordo Pacífico
,189.000000000000000,Juan B. Justo,SANTA FE AV, ,Entre Av Juan B Justo y Humboldt,si, ,64 - 68 - 161,Centro de Transbordo Pacífico
,190.000000000000000,Humboldt,SANTA FE AV, ,Entre Humboldt y Fitz Roy,si, ,41 - 57 - 67 - 194,Centro de Transbordo Pacífico
,191.000000000000000,Regimiento Patricios,SANTA FE AV, ,Entre Humboldt y Av Bullrich,si,15 - 55 - 60, ,Centro de Transbordo Pacífico
,192.000000000000000,Fitz Roy,SANTA FE AV, ,Entre Fitz Roy y Bonpland,si,41 - 60 - 67 - 68 - 152 - 161, ,Centro de Transbordo Pacífico
,193.000000000000000,Teodoro García,CABILDO AV, ,Entre Teodoro García y Palpa,si,41 - 63 - 67, ,Metrobus Norte - Av Cabildo
